province,date,ab_size_ha
AB,2004-07-11,6.12909129632
AB,2004-05-18,5.0279526204
AB,2004-07-23,10.0925712005
AB,2004-07-16,1.63876029346
AB,2004-06-30,6.25184742244
AB,2004-04-17,569.195278166
AB,2004-05-01,6.08569254315
AB,2004-07-23,7.88742904113
AB,2004-06-15,1.63867558403
AB,2004-05-01,3.58946492795
AB,2004-04-25,1.845693174
AB,2004-07-17,4.40952186659
AB,2004-06-30,1.4233732034
AB,2004-06-30,17.605998011
AB,2004-07-17,13.8997359353
AB,2004-07-13,9.02253741996
AB,2004-07-25,4.8570431087
AB,2004-05-22,2.66040755482
AB,2004-07-15,17.7228243491
AB,2004-08-18,6.70629383238
AB,2004-07-24,17.7538827306
AB,2004-05-01,1.35857460173
AB,2004-06-18,34.9044771213
AB,2004-07-23,32.2061195198
AB,2004-07-11,125.774264289
AB,2004-07-25,34.792580304
AB,2004-05-16,6.28933072153
AB,2004-06-30,0.5678646433
AB,2004-07-11,27.5968713379
AB,2004-07-12,1.8838703682
AB,2004-05-02,3.35456587401
AB,2004-08-13,1.0267664114
AB,2004-07-11,35.2023498946
AB,2004-05-22,2.21137146047
AB,2004-07-15,6.87033249898
AB,2004-04-07,7.9198990412
AB,2004-04-30,0.164931747573
AB,2004-04-24,7.6729952864
AB,2004-07-15,1.52093085784
AB,2004-07-16,3.0403861331
AB,2004-07-15,1.51882674989
AB,2004-07-10,1.70997475379
AB,2004-04-25,1.2646868882
AB,2004-09-28,1.58166017244
AB,2004-07-15,1.5069015187
AB,2004-06-30,9.58192407617
AB,2004-10-11,5.8965680051
AB,2004-06-30,20.9637041246
AB,2004-05-15,4.93836146711
AB,2004-06-19,17.8290069749
AB,2004-06-30,23.1798477919
AB,2004-04-20,1.82949541312
AB,2004-07-15,0.754113460777
AB,2004-07-12,13.219461328
AB,2004-07-18,2.1278850085
AB,2004-07-09,1.24299137818
AB,2004-06-20,1.54585187936
AB,2004-05-15,4.42509945922
AB,2004-07-11,5.8266695228
