province,date,bc_size_ha
BC,,4.5934242018
BC,,12.4289948365
BC,2005-05-08,91.5893421161
BC,2006-08-01,283.418790058
BC,2006-06-29,7474.11495334
BC,2006-07-02,3030.27378858
BC,2006-04-28,24.8295066496
BC,2006-06-27,32.1649099138
BC,2006-07-01,3122.23093931
BC,2006-07-02,10396.1942945
BC,2006-07-02,5341.47766736
BC,2006-07-02,2532.40583675
BC,2006-07-02,1443.04290211
BC,2006-07-03,1330.66261593
BC,2006-07-24,305.705793858
BC,2006-05-04,272.380712577
BC,2006-07-25,22.5797727176
BC,2006-07-05,9514.81630576
BC,2006-07-03,3491.95371305
BC,2006-06-22,1792.39487287
BC,2006-07-02,96.7136013322
BC,2006-07-03,6702.73301867
BC,2006-09-04,1822.24550442
BC,2006-09-04,5413.70128207
BC,2006-05-06,76.0460686137
BC,2006-06-28,9795.68699008
BC,2006-07-03,394.332536191
BC,2006-07-26,232.280668265
BC,2006-05-30,0.0684497478967
BC,2006-05-05,21.0619911789
BC,2006-04-30,16.2234958315
BC,2006-07-03,67.9191586729
BC,2006-08-05,42.0292541576
BC,2006-05-16,630.004604967
BC,2006-04-14,0.596593135985
BC,2006-07-24,681.777325612
BC,2006-07-05,272.39498886
BC,2006-05-07,17.9333478334
BC,2006-07-05,784.658261009
BC,2006-05-16,359.612747222
BC,2006-07-05,1082.58582003
BC,2006-05-18,16.3459067596
BC,2006-07-05,271.284325477
BC,2006-07-03,179.605281174
BC,2006-08-30,152.320280517
BC,2006-07-02,867.318250197
BC,2006-07-03,726.891549134
BC,2006-07-08,954.697334286
BC,2006-07-04,632.680362872
BC,2006-04-17,21.391366309
BC,2006-07-04,0.763043838
BC,2006-05-16,9.59106137144
BC,2006-08-15,28.2033466261
BC,2006-04-30,23.8027286543
BC,2006-07-25,5.20597562442
BC,2006-09-12,1.48826853913
BC,2006-07-26,31.9513699939
BC,2006-07-07,52.9188156764
BC,2006-06-27,0.0292409777
BC,2006-08-02,69.222015273
BC,2006-09-12,45.1298501458
BC,2006-04-16,0.143927349106
BC,2006-07-23,2.79762379551
BC,2006-06-13,0.0400649737015
BC,2006-04-14,0.202952214761
BC,2006-07-26,3.29927352675
BC,2006-05-30,0.3679496844
BC,2006-06-27,2.12065698957
BC,2006-04-24,1.41551566639
BC,2006-06-10,19.3266321818
BC,2006-05-18,0.456788721584
BC,2006-04-26,12.7260580239
BC,2006-06-16,1.2279690688
BC,2006-05-18,0.3253011362
BC,2006-08-28,0.426731238208
