province,date,mb_size_ha
MB,1999-06-20,925.12695352
MB,1999-06-20,4066.68397319
MB,1999-07-12,9.72482569117
MB,,181.945232723
MB,1999-07-23,1917.31181603
MB,1999-07-23,178.58371855
MB,1999-07-23,774.969118927
MB,1999-06-20,1688.82507384
MB,1999-07-28,506.88076363
MB,1999-07-24,297.416815368
MB,1999-07-28,242.377681076
MB,1999-07-22,130.776889954
MB,1999-08-28,703.641234506
MB,1999-07-13,2152.6369917
MB,1999-07-24,157.79401434
MB,1999-07-23,10.8710236819
MB,1999-06-29,19404.8358528
MB,1999-06-20,2771.97806133
MB,,2.70106588884
MB,1999-06-20,3064.5901638
MB,1999-07-11,1368.18037847
MB,1999-07-24,357.309086161
MB,1999-07-24,259.93153491
MB,1999-06-19,1951.61716089
MB,1999-07-12,13124.2084442
MB,1999-06-19,1502.17710736
MB,1999-07-11,373.94396347
MB,1999-07-11,2232.38137579
MB,1999-06-20,367.579803441
MB,1999-07-13,1510.67526595
MB,1999-06-18,128.434258213
MB,1999-06-19,3787.24906059
MB,1999-06-19,9169.2512658
MB,1999-07-13,279.925320519
MB,1999-06-17,3176.43349359
MB,1999-07-10,3065.55555291
MB,1999-06-20,7066.4025967
MB,1999-06-20,7563.20036793
MB,1999-07-23,734.440642017
MB,1999-07-11,271.206877798
MB,,19.616414881
MB,1999-07-12,595.031191277
MB,1999-06-19,1668.10551807
MB,1999-07-12,3009.44211449
MB,1999-07-12,254.62887813
MB,,1601.12487805
MB,1999-08-28,1347.34124799
MB,,286.570020171
MB,,1.8010352857
MB,1999-08-27,3549.41977988
MB,,3097.63349676
MB,,9.093689547
MB,1999-07-10,339.774972109
MB,,11.2565785696
MB,1999-06-19,1247.66801247
MB,1999-06-19,2248.82337603
MB,,2.20670214254
MB,,33.9590340375
MB,2000-07-31,13368.47438
MB,2000-07-30,42.6718401421
MB,2000-07-30,802.409893033
MB,2000-07-27,9824.29516643
MB,,27.6335941689
MB,2000-07-24,632.401185699
MB,2000-10-22,95.6316502474
MB,,1926.15889832
MB,2000-08-06,418.905253395
MB,,3980.61292247
MB,2000-07-30,5788.52254985
MB,,2.9763922551
MB,2000-07-26,481.098495347
MB,,0.973298439163
MB,2000-08-05,793.006579648
MB,2000-07-20,6442.51219951
MB,,43.333657892
MB,,9.45903048255
MB,,2.9737949076
MB,,2.97798800775
MB,,3.0128715255
MB,2000-08-07,20.0223562309
MB,,16.0205011175
MB,,0.123216263878
MB,,6.081704295
MB,,2673.51608921
MB,,5.0555265534
MB,,0.122860027102
MB,,0.122881340403
MB,2000-08-01,787.039556747
MB,,0.122999123812
MB,,11.1999132144
MB,,85.5798085839
MB,2000-08-07,49.9588601194
MB,,1.69390501401
MB,,28.7865196989
MB,,22.8584130578
MB,,0.2030319541
MB,2000-10-18,459.849861593
MB,,6.36444650853
MB,,0.1216398009
MB,,0.276548199406
MB,,0.123085364065
MB,,0.203335997352
MB,,0.1231014023
MB,,1835.13682616
MB,,2.5857783672
MB,,0.200379819242
MB,,21.2978566405
MB,,66.2252458372
MB,,0.513638416027
MB,,25.3346231343
MB,,0.203125269979
MB,,0.203319635297
MB,,0.492346571792
MB,,0.1228260857
MB,,0.123126266281
MB,,15.00356257
MB,,0.203468421082
MB,,0.203473991021
MB,,0.4917922832
MB,,65.835069458
MB,,23.9656716752
MB,,0.1229729578
MB,,0.123103403679
MB,,0.1230071561
MB,,67.711910076
MB,,0.122953694475
MB,,0.123172575592
MB,,13.8801429847
MB,,0.203440730899
MB,,0.123128376687
MB,,0.123191029658
MB,,0.203584394799
MB,,0.123105109051
MB,,0.123041843528
MB,,0.123254483521
MB,,0.122869557451
MB,,0.122982859469
MB,,0.122950779982
MB,,11.6403753754
MB,,0.1229415879
MB,,1.00489601977
MB,,14.173568341
MB,,0.492528040184
MB,,0.123020082029
MB,,0.122722887888
MB,,55.6210427312
MB,,20.4129117884
MB,,50.5813936807
MB,,0.203320565594
MB,,0.1230094472
MB,,3.32896807274
MB,,0.122437209138
MB,,24.7925601963
MB,,0.492401700141
MB,,118.019091582
MB,,0.203671469524
MB,,2.9834683383
MB,,0.515494520147
MB,,3.73851955811
MB,,0.392940096246
MB,,0.122796016901
MB,2000-08-03,400.162249235
MB,,0.123155430457
MB,2000-05-07,1.3315007587
MB,,0.122969465608
MB,2000-08-01,32013.8165492
MB,2000-08-02,1263.99252797
MB,,0.277014887156
MB,,555.051901315
MB,,0.203241464365
MB,,0.122921110479
MB,,0.2034806509
MB,,3.11646946835
MB,,21.3412718167
MB,,0.277257917488
